Date,AAFD,None,SAESCR,SPPAO,Other,UOIW,VOCR,Total,UA,ACCFRA
20140519,0,0,0,0,0,9,0,9,0,0
20140524,0,0,0,0,0,2,0,2,0,0
20140414,0,0,0,0,0,3,0,3,0,0
20140509,0,0,0,0,0,1,0,1,0,0
20140411,0,0,0,0,0,9,0,9,0,0
20141020,0,0,0,0,0,1,0,1,0,0
20140830,0,0,0,0,0,4,0,4,0,0
20140727,0,0,0,0,0,4,0,4,0,0
20140829,0,0,0,0,0,2,0,2,0,0
20140523,0,0,0,0,0,3,0,3,0,0
20140819,0,0,0,0,0,1,0,1,0,0
20140419,0,0,0,0,0,1,0,1,0,0
20140522,0,0,0,0,0,13,0,13,0,0
20140924,0,0,0,0,0,4,0,4,0,0
20140303,0,0,0,0,0,2,0,2,0,0
20140831,0,0,0,0,0,1,0,1,0,0
20140828,0,0,0,0,0,2,0,2,0,0
20140526,0,0,0,0,0,2,0,2,0,0
20140422,0,0,0,0,0,2,0,2,0,0
20140421,0,0,0,0,0,20,0,20,0,0
20140418,0,0,0,0,0,8,0,8,0,0
20140502,0,0,0,0,0,1,0,1,0,0
20140425,0,0,0,0,0,1,0,1,0,0
20140729,0,0,0,0,0,1,0,1,0,0
20140416,0,0,0,0,0,7,0,7,0,0
20140429,0,0,0,0,0,1,0,1,0,0
20140430,0,0,0,0,0,6,0,6,0,0
20140820,0,0,0,0,0,4,0,4,0,0
20140717,0,0,0,0,0,4,0,4,0,0
20140412,0,0,0,0,0,5,0,5,0,0
20140529,0,0,0,0,0,1,0,1,0,0
20140605,0,0,0,0,0,3,0,3,0,0
20140520,0,0,0,0,0,2,0,2,0,0
20140413,0,0,0,0,0,2,0,2,0,0
20140302,0,0,0,0,0,2,0,2,0,0
