Date,AAFD,None,SAESCR,SPPAO,Other,UOIW,VOCR,Total,UA,ACCFRA
20160905,0,0,0,0,8,2,0,12,2,0
20160813,0,0,0,1,0,4,0,17,12,0
20160708,0,0,0,0,0,0,1,5,4,0
20160929,0,0,0,0,10,1,0,12,1,0
20161130,0,0,0,0,0,0,0,2,2,0
20160814,0,0,0,0,0,1,0,5,4,0
20160222,0,0,0,0,0,0,0,4,0,4
20161108,0,0,0,0,2,1,0,3,0,0
20160229,0,0,0,0,0,0,0,14,0,14
20160815,0,0,2,0,0,2,0,8,4,0
20161122,0,0,0,1,12,1,1,20,5,0
20160122,0,0,0,0,0,0,0,17,0,17
20160901,0,0,0,0,0,0,0,2,1,1
20161128,0,0,0,0,0,1,1,8,5,1
20160211,0,0,0,0,0,0,0,7,0,7
20160917,0,0,0,0,0,0,0,1,0,1
20161120,0,0,0,1,5,6,0,14,2,0
20160129,0,0,0,0,0,2,0,6,0,4
20160422,0,0,0,0,0,0,0,1,0,1
20160125,0,0,0,0,0,0,0,4,0,4
20161029,0,0,0,1,0,0,0,1,0,0
20161203,0,0,0,0,0,0,0,1,1,0
20161013,0,0,0,0,0,0,0,5,4,1
20160220,0,0,0,0,0,1,0,12,0,11
20160926,0,0,0,0,9,4,0,20,5,2
20160209,0,0,0,0,0,0,0,18,0,18
20160704,0,0,0,0,0,1,0,2,0,1
20161113,0,0,0,1,18,1,0,22,2,0
20160214,0,0,0,0,0,2,0,19,0,17
20160225,0,0,0,0,0,0,0,8,0,8
20160907,0,0,0,0,8,1,0,13,3,1
20160721,0,0,0,0,0,1,0,20,19,0
20160115,0,0,0,0,0,0,0,5,0,5
20161016,0,0,0,0,0,1,0,12,11,0
20161224,0,0,0,0,0,0,0,5,2,3
20160705,0,0,0,0,2,1,0,3,0,0
20160902,0,0,0,0,2,1,0,3,0,0
20161216,6,0,0,0,0,1,0,8,1,0
20160106,0,0,0,0,0,0,0,4,0,4
20161116,0,0,0,0,26,1,0,45,17,1
20160822,0,0,0,0,0,3,0,9,6,0
20161024,0,1,0,0,0,0,0,3,1,1
20160925,0,0,0,0,20,11,1,40,8,0
20160102,0,0,0,0,0,0,0,3,0,3
20160805,0,0,0,3,0,2,0,12,7,0
20160725,0,1,0,2,4,2,2,27,15,1
20160629,0,0,0,0,0,3,0,3,0,0
20161009,0,0,0,0,0,1,0,4,3,0
20160630,0,0,0,0,0,1,0,1,0,0
20160227,0,0,0,0,0,0,0,11,0,11
20161008,0,0,0,0,0,1,0,3,2,0
20161102,0,0,0,0,9,0,0,9,0,0
20161022,0,1,0,0,0,1,0,2,0,0
20161103,0,0,0,0,6,0,0,7,1,0
20161003,0,0,0,5,0,3,0,9,1,0
20160702,0,0,0,0,2,2,0,5,1,0
20160714,0,0,0,1,1,2,0,15,11,0
20161201,0,0,0,0,0,0,0,1,1,0
20160603,0,0,0,0,0,2,0,3,1,0
20160224,0,0,0,0,0,0,0,6,0,6
20160802,0,0,1,1,0,5,0,16,9,0
20160210,0,0,0,0,0,0,0,10,0,10
20160712,0,0,0,0,0,0,0,4,3,1
20160126,0,0,0,0,0,0,0,1,0,1
20160602,0,0,0,0,0,2,0,2,0,0
20160302,0,0,0,0,0,0,0,2,0,2
20160618,0,3,0,0,0,1,0,4,0,0
20160810,0,0,0,5,0,9,0,18,4,0
20161028,0,0,0,0,0,0,0,4,4,0
20160310,0,0,0,0,0,0,0,1,0,1
20160720,0,0,0,1,0,0,0,6,5,0
20160827,0,0,0,0,0,9,0,17,8,0
20160723,0,0,0,0,6,1,0,23,16,0
20160607,0,1,0,0,0,3,0,4,0,0
20161014,0,0,0,2,0,0,0,15,13,0
20161104,0,0,0,0,8,1,0,12,2,1
20160202,0,0,0,0,0,0,0,9,0,9
20161217,2,0,0,1,0,2,0,6,1,0
20161228,1,0,1,1,0,0,0,4,1,0
20160301,0,0,0,0,0,0,0,8,0,8
20161030,0,0,0,0,0,1,0,3,1,1
20160110,0,0,0,0,0,0,0,8,0,8
20160909,0,0,0,0,1,1,0,3,0,1
20161106,0,0,0,0,8,1,0,10,1,0
20160719,0,0,0,0,5,0,0,7,1,1
20161031,0,0,0,0,0,0,0,2,2,0
20161012,0,0,0,0,0,0,0,13,12,1
20160206,0,0,0,0,0,0,0,3,0,3
20161020,0,0,0,0,1,0,0,6,5,0
20160829,0,0,1,0,0,2,0,6,3,0
20160203,0,0,0,0,0,2,0,9,0,7
20160615,0,0,0,1,0,0,0,1,0,0
20160120,0,0,0,0,0,0,0,7,0,7
20161220,2,0,1,0,0,0,0,3,0,0
