https://syrianarchive.org/database/46020,ALEPPO : Bab Road,36.206361,37.192694,17/01/2017,Use of illegal weapons,"Chemical Weapons, Chlorine Gas",Chlorine gas attack that targeted Aleppo city
https://syrianarchive.org/database/45359,DAMASCUS : Marj al sultan,None,None,11/01/2017,Use of illegal weapons,Cluster Munition,Cluster bombs attack in Damascus countryside
https://syrianarchive.org/database/45234,DAMASCUS : Marj al sultan,None,None,10/01/2017,Use of illegal weapons,Cluster Munition,Cluster bombs attack that targeted Damascus countryside
https://syrianarchive.org/database/44044,ALEPPO,None,None,30/12/2016,"Sieges and economic, social and cultural rights",None,Interview with a civilian who was evacuated from Aleppo about his suffering under siege and bombing
https://syrianarchive.org/database/44047,ALEPPO : Azaz,None,None,30/12/2016,Unlawful attacks,None,Casualties and destruction in Azaz town because of a car bomb
https://syrianarchive.org/database/44029,ALEPPO : Binan Al hes,None,None,30/12/2016,Alleged civilian casualties from Russian attacks,None,The destruction in Aleppo countryside after being targeted by alleged Russian airstrikes - Aleppo
https://syrianarchive.org/database/43738,ALEPPO,None,None,28/12/2016,"Sieges and economic, social and cultural rights",None,Interview with the civilians who were evacuated from Aleppo about their suffering under siege and bombing
https://syrianarchive.org/database/43748,ALEPPO,None,None,28/12/2016,Specifically protected persons and objects,None,Destruction in schools as a result of bombing in Aleppo countryside
https://syrianarchive.org/database/43747,ALEPPO : Al-Jinah,None,None,28/12/2016,Unlawful attacks,None,The destruction in Aleppo countryside after being targeting it with alleged Russian airstrikes
https://syrianarchive.org/database/43822,ALEPPO,None,None,28/12/2016,Arbitrary and forcible displacement,None,Interview with a woman who was evacuated from Aleppo about her suffering during the siege
https://syrianarchive.org/database/43740,ALEPPO : Seif al-Dawleh,None,None,27/12/2016,Unlawful attacks,None,The destruction in sief Al-Dawleh and Al-Zabadieh neighborhoods in Aleppo city
https://syrianarchive.org/database/43720,ALEPPO : Al-Jinah,None,None,27/12/2016,Unlawful attacks,None,The airstrikes target a mosque and civilian homes in Al-Jineh town - Aleppo
https://syrianarchive.org/database/43268,ALEPPO : Al atarib,None,None,24/12/2016,Alleged civilian casualties from Russian attacks,None,The destruction in al-Atarib town after targeting it with alleged Russian airstrikes - Aleppo
https://syrianarchive.org/database/43259,ALEPPO : Al atarib,None,None,24/12/2016,Unlawful attacks,None,The destruction in al-Atarib town after targeting it with rockets - Aleppo
https://syrianarchive.org/database/43279,ALEPPO : Al atarib,None,None,24/12/2016,Alleged civilian casualties from Russian attacks,None,6 civilians killed and many wounded after targeting Al-Atarib town with alleged Russian airstrikes - Aleppo
https://syrianarchive.org/database/43265,ALEPPO : Al atarib,None,None,24/12/2016,Alleged civilian casualties from Russian attacks,None,The destruction in al-Atarib town after targeting it with alleged Russian airstrikes - Aleppo
https://syrianarchive.org/database/43252,ALEPPO : Al atarib,None,None,24/12/2016,Unlawful attacks,None,6 civilians casualties and many wounded after targeting Al-Atarib town with airstrikes - Aleppo
https://syrianarchive.org/database/43131,ALEPPO : Khan al-Asl,None,None,23/12/2016,Use of illegal weapons,Cluster Munition,targeting Khan Al-Asl with cluster munition - Aleppo
https://syrianarchive.org/database/42770,ALEPPO,None,None,20/12/2016,"Sieges and economic, social and cultural rights",None,One causality in Al-Quds hospital during his waiting to be transported out of eastern Aleppo
https://syrianarchive.org/database/42771,ALEPPO,None,None,20/12/2016,Arbitrary and forcible displacement,None,Interview with the civilians who were evacuated from Aleppo
https://syrianarchive.org/database/42801,ALEPPO,None,None,20/12/2016,Arbitrary and forcible displacement,None,"This woman was among those people who were displaced from the Eastern neighborhoods of Aleppo, she lost her 3 sons"
https://syrianarchive.org/database/42669,ALEPPO,None,None,19/12/2016,Arbitrary and forcible displacement,None,interview with an woman who was evacuated from Aleppo about their suffering under siege and bombing
https://syrianarchive.org/database/42622,ALEPPO,None,None,19/12/2016,Arbitrary and forcible displacement,None,interview with the civilians who were evacuated from Aleppo about their suffering under siege and bombing
https://syrianarchive.org/database/42448,ALEPPO,None,None,17/12/2016,Unlawful attacks,None,Iranian militias breache the truce by targeting the evacuation convoys from Aleppo
https://syrianarchive.org/database/42391,ALEPPO,None,None,17/12/2016,Arbitrary and forcible displacement,None,Interview with a survivor from an evacuation convoy after trapping it by Syrian regime forces and Iranian militias
https://syrianarchive.org/database/42443,ALEPPO : Anadan,None,None,17/12/2016,Use of illegal weapons,Incendiary Weapons,Targeting Anadan town by phosphorus bombs - Aleppo
https://syrianarchive.org/database/42439,ALEPPO : Anadan,None,None,17/12/2016,Use of illegal weapons,Incendiary Weapons,Targeting Anadan town by napalm from alleged Russian warplanes - Aleppo
https://syrianarchive.org/database/42392,ALEPPO,None,None,17/12/2016,Arbitrary and forcible displacement,None,targeting an evacuation convoy from Syrian regime forces - Aleppo
https://syrianarchive.org/database/42396,ALEPPO,None,None,17/12/2016,Specifically protected persons and objects,None,"The situation in Al-Quds hospital, the wounded are waiting to be transferred"
